borehole_id,parameter,n,n5,has_detection,mk_z_5y,mk_p_5y,mk_z_full,mk_p_full,snr_5y,snr_full,analysis_mode,classification,trend_description,crossed_standard,drinking_water_standard
מק_חולון_12,ARSENIC AS AS,5,1,False,,,,,,,none,NONE,,False,10
מק_חולון_12,ATRAZINE,6,1,False,,,,,,,none,NONE,,False,2
מק_חולון_12,Aldicarb sulfon,1,1,False,,,,,,,none,NONE,,False,
מק_חולון_12,Aldicarb sulfoxide,4,1,False,,,,,,,none,NONE,,False,
מק_חולון_12,Aldrin,1,0,False,,,,,,,none,NONE,,False,0.05
מק_חולון_12,BARIUM AS BA,5,1,True,,,0,1,0,0.0807503,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),False,1000
מק_חולון_12,BENZENE,5,1,False,,,,,,,none,NONE,,False,5
מק_חולון_12,BENZOPYRENE,5,1,False,,,,,,,none,NONE,,False,0.5
מק_חולון_12,BERYLIUM,3,1,False,,,,,,,none,NONE,,False,4
מק_חולון_12,BETA RAD. CORRECTED FOR  K,1,1,False,,,,,,,none,NONE,,False,
מק_חולון_12,BETA RADIOACTIVITY,1,1,False,,,,,,,none,NONE,,False,1
מק_חולון_12,BICARBONATE AS HCO3,4,1,True,,,-0.339683,0.734095,0,0.827349,full_record,STABLE,No significant trend (p=0.734); Mann-Kendall Z=-0.34 (full record — 5-year window insufficient),False,
מק_חולון_12,BIS (2-ETHYLHEXYL) PHTALATE,2,1,False,,,,,,,none,NONE,,False,8
מק_חולון_12,BORON AS B,3,1,True,,,,,,,none,NONE,,False,1
מק_חולון_12,BROMACIL,1,1,False,,,,,,,none,NONE,,False,
מק_חולון_12,BROMIDE AS BR,3,1,True,,,,,,,none,NONE,,False,
מק_חולון_12,CADMIUM AS CD,5,1,False,,,,,,,none,NONE,,False,5
מק_חולון_12,CALCIUM AS CA,4,1,True,,,0,1,0,0.15133,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),True,80
מק_חולון_12,CARBON TETRACHLORIDE,5,1,False,,,,,,,none,NONE,,False,4
מק_חולון_12,CHLORDANE,6,1,False,,,,,,,none,NONE,,False,1
מק_חולון_12,CHLORIDE AS CL,21,5,True,2.20454,0.0274863,2.5377,0.0111584,1.27078,,5y,INCREASING,Rising trend (p=0.027); Mann-Kendall Z=2.20,False,400
מק_חולון_12,CHLOROFORM,5,1,False,,,,,,,none,NONE,,False,80
מק_חולון_12,CHLORPYRIFOS,5,1,False,,,,,,,none,NONE,,False,
מק_חולון_12,CHROMIUM AS CR,5,1,True,,,1.01058,0.312216,0,1.10362,full_record,STABLE,No significant trend (p=0.312); Mann-Kendall Z=1.01 (full record — 5-year window insufficient),False,50
מק_חולון_12,"CIS 1,2 DICHLOROETHYLENE",5,1,False,,,,,,,none,NONE,,False,50
מק_חולון_12,"CIS+ TRANS 1,2 DICHLOROETHELYENE",5,1,False,,,,,,,none,NONE,,False,
מק_חולון_12,COBALT AS CO,2,0,False,,,,,,,none,NONE,,False,
מק_חולון_12,COLOR  PLATINUM COBALT UNITS,6,5,False,,,,,,,none,NONE,,False,15
מק_חולון_12,COPPER AS CU,5,1,True,,,0.353553,0.723674,0,0.745356,full_record,STABLE,No significant trend (p=0.724); Mann-Kendall Z=0.35 (full record — 5-year window insufficient),False,1400
מק_חולון_12,CYANIDE AS CN,3,1,False,,,,,,,none,NONE,,False,50
מק_חולון_12,DDT,2,0,False,,,,,,,none,NONE,,False,1
מק_חולון_12,DETERGENTS AS LAS,4,1,False,,,,,,,none,NONE,,False,0.5
מק_חולון_12,"DIBROMO-3-CHLOROPROPA1,2 NE",6,1,False,,,,,,,none,NONE,,False,0.3
מק_חולון_12,"DICHLOR BENZEN 1,2",5,1,False,,,,,,,none,NONE,,False,600
מק_חולון_12,"DICHLOROBENZEN 1,4",5,1,False,,,,,,,none,NONE,,False,75
מק_חולון_12,"DICHLOROETHANE1,2",5,1,False,,,,,,,none,NONE,,False,4
מק_חולון_12,"DICHLOROETHYLENE 1,1",5,1,False,,,,,,,none,NONE,,False,10
מק_חולון_12,DICHLOROMETHANE,5,1,False,,,,,,,none,NONE,,False,5
מק_חולון_12,"DICHLOROPHENOXY ACETI2,4 C ACID",6,1,False,,,,,,,none,NONE,,False,30
מק_חולון_12,DINOSEB,1,0,False,,,,,,,none,NONE,,False,7
מק_חולון_12,DISSOLVED MATTER AT 180C DEGR,1,1,True,,,,,,,none,NONE,,False,
מק_חולון_12,DISSOLVED OXYGEN AS O2,2,1,True,,,,,,,none,NONE,,False,
מק_חולון_12,Dieldrin,2,0,False,,,,,,,none,NONE,,False,0.05
מק_חולון_12,Dimethoate,3,0,False,,,,,,,none,NONE,,False,6
מק_חולון_12,ENDRIN,1,0,False,,,,,,,none,NONE,,False,2
מק_חולון_12,ETHYL BENZENE,5,1,False,,,,,,,none,NONE,,False,300
מק_חולון_12,ETHYLENE DI BROMIDE,6,1,False,,,,,,,none,NONE,,False,0.05
מק_חולון_12,FECAL COLIFORM MF PRO,36,36,False,,,,,,,none,NONE,,False,10
מק_חולון_12,FIELD ELECTRICAL CONDUCTIVITY,8,4,True,0,1,0.866025,0.386476,1.06682,,5y,STABLE,No significant trend (p=1.000); Mann-Kendall Z=0.00,False,
מק_חולון_12,FIELD TURBIDITY,46,46,True,0.84763,0.396644,0.84763,0.396644,0.314721,,5y,STABLE,No significant trend (p=0.397); Mann-Kendall Z=0.85,False,
מק_חולון_12,FLUORIDE AS F,3,1,True,,,,,,,none,NONE,,False,1.7
מק_חולון_12,FORMALDEHYDE,2,0,False,,,,,,,none,NONE,,False,900
מק_חולון_12,HARDNESS AS CACO3,3,1,True,,,,,,,none,NONE,,True,200
מק_חולון_12,HEPTACHLOR,6,1,False,,,,,,,none,NONE,,False,0.4
מק_חולון_12,HEPTACHLOR EPOXIDE,6,1,False,,,,,,,none,NONE,,False,0.2
מק_חולון_12,IRON TOTAL AS FE,5,1,True,,,-0.734847,0.462433,0,0.472332,full_record,STABLE,No significant trend (p=0.462); Mann-Kendall Z=-0.73 (full record — 5-year window insufficient),False,1000
מק_חולון_12,LEAD AS PB,5,1,False,,,,,,,none,NONE,,False,10
מק_חולון_12,LINDANE,6,1,False,,,,,,,none,NONE,,False,1
מק_חולון_12,LITHIUM,2,0,False,,,,,,,none,NONE,,False,
מק_חולון_12,Lab EC comp to 25 C DEGR,7,5,True,1.71464,0.0864107,2.70338,0.00686379,1.39952,,5y,INCREASING,Rising trend (p=0.086); Mann-Kendall Z=1.71,False,
מק_חולון_12,MAGNESIUM AS MG,4,1,True,,,0,1,0,0.242493,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),False,150
מק_חולון_12,MANGANESE TOTAL AS MN,5,1,True,,,-0.244949,0.806496,0,0.142262,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),False,200
מק_חולון_12,MERCURY AS HG,3,1,False,,,,,,,none,NONE,,False,1
מק_חולון_12,METHOXYCHLOR,1,0,False,,,,,,,none,NONE,,False,20
מק_חולון_12,METOLACHLOR,2,0,False,,,,,,,none,NONE,,False,10
מק_חולון_12,MOLYBDENUM,5,1,False,,,,,,,none,NONE,,False,70
מק_חולון_12,MONOCHLOROBENZENE,5,1,False,,,,,,,none,NONE,,False,100
מק_חולון_12,NICKEL AS NI,5,1,False,,,,,,,none,NONE,,False,20
מק_חולון_12,NITRATE AS NO3,20,5,True,1.30558,0.191695,1.3368,0.181288,1.39272,,5y,STABLE,No significant trend (p=0.192); Mann-Kendall Z=1.31,False,70
מק_חולון_12,NITRITE AS NO2,12,0,False,,,,,,,none,NONE,,False,3
מק_חולון_12,OIL AND GREASE,1,0,False,,,,,,,none,NONE,,False,300
מק_חולון_12,PENTACHLOROPHENOL,1,0,False,,,,,,,none,NONE,,False,3
מק_חולון_12,PERMETRINE,1,0,False,,,,,,,none,NONE,,False,
מק_חולון_12,PH MEASURED  IN FIELD,9,5,True,-0.734847,0.462433,0,1,0.785191,,5y,STABLE,No significant trend (p=0.462); Mann-Kendall Z=-0.73,False,
מק_חולון_12,PHENOLS AS C6H5OH,2,0,False,,,,,,,none,NONE,,False,2
מק_חולון_12,PHOSPHATES AS PO4,1,0,True,,,,,,,none,NONE,,False,
מק_חולון_12,POTASSIUM AS K,4,1,True,,,0.339683,0.734095,0,0.270501,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),False,
מק_חולון_12,POTASSIUM AS K FOR BETA CORREC,1,1,True,,,,,,,none,NONE,,False,
מק_חולון_12,Per-FluoroOctaneSulfonate,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Per-FluoroOctanoic Acid,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Perfluorobutane Sulfonic Acid,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Perfluorobytanoic acid,1,1,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Perfluoroheptanoic acid,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Perfluorohexanesulfonic acid,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Perfluorohexanoic acid,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Perfluorononanoic acid,1,1,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,Perfluoropentanoic acid,1,1,False,,,,,,,none,NONE,,False,0.1
מק_חולון_12,SELENIUM AS SE,5,1,False,,,,,,,none,NONE,,False,10
מק_חולון_12,SILICA AS SIO2,1,0,True,,,,,,,none,NONE,,False,
מק_חולון_12,SILVER,5,1,False,,,,,,,none,NONE,,False,100
מק_חולון_12,SIMAZINE,6,1,False,,,,,,,none,NONE,,False,2
מק_חולון_12,SODIUM AS NA,4,1,True,,,0,1,0,0.254686,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),False,
מק_חולון_12,STRONTIUM AS SR,2,0,True,,,,,,,none,NONE,,False,
מק_חולון_12,STYRENE,5,1,False,,,,,,,none,NONE,,False,50
מק_חולון_12,SULFATE AS SO4,4,1,True,,,0.339683,0.734095,0,0.0678844,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),False,250
מק_חולון_12,"T-2,4,5",1,0,False,,,,,,,none,NONE,,False,9
מק_חולון_12,TEMPERATURE CENTIGRADE,5,4,True,-0.339683,0.734095,-0.734847,0.462433,0.911732,,5y,STABLE,No significant trend (p=0.734); Mann-Kendall Z=-0.34,False,
מק_חולון_12,TETRACHLORO ETHYLENE,5,1,False,,,,,,,none,NONE,,False,10
מק_חולון_12,THALLIUM,2,1,False,,,,,,,none,NONE,,False,2
מק_חולון_12,TIN AS SN,1,0,False,,,,,,,none,NONE,,False,
מק_חולון_12,TOLUENE,5,1,False,,,,,,,none,NONE,,False,700
מק_חולון_12,TOT.COLIF.MF PROCED,36,36,True,0.192524,0.847331,0.192524,0.847331,0.333333,,5y,STABLE,No significant trend (p=0.847); Mann-Kendall Z=0.19,False,50
מק_חולון_12,TOTAL ORGANIC CARBON,10,5,True,0.288675,0.77283,-0.957826,0.33815,0.30429,,5y,STABLE,No significant trend (p=0.773); Mann-Kendall Z=0.29,False,
מק_חולון_12,"TRANS-1,2 DICHLOROETHYLENE",5,1,False,,,,,,,none,NONE,,False,50
מק_חולון_12,"TRICHLORO ETHANE 1,1,1",5,1,False,,,,,,,none,NONE,,False,200
מק_חולון_12,TRICHLORO ETHYLENE,5,1,False,,,,,,,none,NONE,,False,7.5
מק_חולון_12,"TRICHLORO PHENOXY 2,4,5 PROPIO",2,0,False,,,,,,,none,NONE,,False,10
מק_חולון_12,TRIFLORILEN,6,1,False,,,,,,,none,NONE,,False,20
מק_חולון_12,URANIUM,2,1,True,,,,,,,none,NONE,,False,15
מק_חולון_12,UV ABSORB AT 254 NM,5,5,True,-0.353553,0.723674,-0.353553,0.723674,1.11803,,5y,STABLE,No significant trend (p=0.724); Mann-Kendall Z=-0.35,False,
מק_חולון_12,VINYL CHLORIDE,5,1,False,,,,,,,none,NONE,,False,0.5
מק_חולון_12,XYLENE,5,1,False,,,,,,,none,NONE,,False,500
מק_חולון_12,ZINC AS ZN,5,1,True,,,-2.02116,0.0432627,0,1.49186,full_record,DECREASING,Declining trend (p=0.043); Mann-Kendall Z=-2.02 (full record — 5-year window insufficient),False,5000
מק_חולון_12,total_pfas,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_14, MTBE,9,2,False,,,,,,,none,NONE,,False,40
מק_חולון_14,"1,1,2-trichloroethane",9,2,False,,,,,,,none,NONE,,False,5
מק_חולון_14,"1,2,4-trichlorobenzene",6,2,False,,,,,,,none,NONE,,False,70
מק_חולון_14,"1,2-dichloropropane",9,2,False,,,,,,,none,NONE,,False,5
מק_חולון_14,"4,4-DDD",1,0,False,,,,,,,none,NONE,,False,
מק_חולון_14,ALACHLOR,6,1,False,,,,,,,none,NONE,,False,4
מק_חולון_14,ALDICRAB,6,1,False,,,,,,,none,NONE,,False,
מק_חולון_14,ALKALINITY M AS CACO3 (B),2,1,True,,,,,,,none,NONE,,False,
מק_חולון_14,ALPHA RADIOACTIVITY,1,1,True,,,,,,,none,NONE,,False,0.1
מק_חולון_14,ALUMINUM,5,1,True,,,-2.02116,0.0432627,0,1.77436,full_record,DECREASING,Declining trend (p=0.043); Mann-Kendall Z=-2.02 (full record — 5-year window insufficient),False,200
מק_חולון_14,AMMONIA AS NH4,1,0,True,,,,,,,none,NONE,,False,
מק_חולון_14,ANTIMONY,2,1,False,,,,,,,none,NONE,,False,6
מק_חולון_14,ARSENIC AS AS,5,1,True,,,1.6641,0.0960923,0,1.21367,full_record,INCREASING,Rising trend (p=0.096); Mann-Kendall Z=1.66 (full record — 5-year window insufficient),False,10
מק_חולון_14,ATRAZINE,6,1,False,,,,,,,none,NONE,,False,2
מק_חולון_14,Aldicarb sulfon,1,1,False,,,,,,,none,NONE,,False,
מק_חולון_14,Aldicarb sulfoxide,4,1,False,,,,,,,none,NONE,,False,
מק_חולון_14,Aldrin,1,0,False,,,,,,,none,NONE,,False,0.05
מק_חולון_14,BARIUM AS BA,5,1,True,,,1.01058,0.312216,0,0.609837,full_record,STABLE,No significant trend (p=0.312); Mann-Kendall Z=1.01 (full record — 5-year window insufficient),False,1000
מק_חולון_14,BENZENE,10,2,False,,,,,,,none,NONE,,False,5
מק_חולון_14,BENZOPYRENE,7,1,False,,,,,,,none,NONE,,False,0.5
מק_חולון_14,BERYLIUM,3,1,False,,,,,,,none,NONE,,False,4
מק_חולון_14,BETA RAD. CORRECTED FOR  K,1,1,False,,,,,,,none,NONE,,False,
מק_חולון_14,BETA RADIOACTIVITY,1,1,False,,,,,,,none,NONE,,False,1
מק_חולון_14,BICARBONATE AS HCO3,3,1,True,,,,,,,none,NONE,,False,
מק_חולון_14,BIS (2-ETHYLHEXYL) PHTALATE,3,1,False,,,,,,,none,NONE,,False,8
מק_חולון_14,BORON AS B,3,1,True,,,,,,,none,NONE,,False,1
מק_חולון_14,BROMACIL,1,1,False,,,,,,,none,NONE,,False,
מק_חולון_14,BROMIDE AS BR,3,1,True,,,,,,,none,NONE,,False,
מק_חולון_14,Bromo dichloromethane,1,0,False,,,,,,,none,NONE,,False,
מק_חולון_14,CADMIUM AS CD,5,1,False,,,,,,,none,NONE,,False,5
מק_חולון_14,CALCIUM AS CA,4,1,True,,,1.69842,0.0894294,0,1.3117,full_record,INCREASING,Rising trend (p=0.089); Mann-Kendall Z=1.70 (full record — 5-year window insufficient),True,80
מק_חולון_14,CARBOFURAN,1,0,False,,,,,,,none,NONE,,False,20
מק_חולון_14,CARBON TETRACHLORIDE,32,16,True,-3.19652,0.00139095,-3.13729,0.00170515,1.0974,,5y,DECREASING,Declining trend (p=0.001); Mann-Kendall Z=-3.20,False,4
מק_חולון_14,CHLORDANE,6,1,False,,,,,,,none,NONE,,False,1
מק_חולון_14,CHLORIDE AS CL,26,7,True,0,1,2.67027,0.00757896,0,,5y,NONE,Insufficient signal for trend assessment (SNR below threshold),False,400
מק_חולון_14,CHLOROFORM,10,2,False,,,,,,,none,NONE,,False,80
מק_חולון_14,CHLORPYRIFOS,5,1,False,,,,,,,none,NONE,,False,
מק_חולון_14,CHROMIUM AS CR,6,1,True,,,0.779484,0.435695,0,1.0948,full_record,STABLE,No significant trend (p=0.436); Mann-Kendall Z=0.78 (full record — 5-year window insufficient),False,50
מק_חולון_14,"CIS 1,2 DICHLOROETHYLENE",10,2,False,,,,,,,none,NONE,,False,50
מק_חולון_14,"CIS+ TRANS 1,2 DICHLOROETHELYENE",8,2,False,,,,,,,none,NONE,,False,
מק_חולון_14,COBALT AS CO,3,0,False,,,,,,,none,NONE,,False,
מק_חולון_14,COLOR  PLATINUM COBALT UNITS,8,6,False,,,,,,,none,NONE,,False,15
מק_חולון_14,COPPER AS CU,5,1,True,,,-0.5547,0.5791,0,0.922531,full_record,STABLE,No significant trend (p=0.579); Mann-Kendall Z=-0.55 (full record — 5-year window insufficient),False,1400
מק_חולון_14,CYANIDE AS CN,3,1,False,,,,,,,none,NONE,,False,50
מק_חולון_14,DDT,2,0,False,,,,,,,none,NONE,,False,1
מק_חולון_14,DETERGENTS AS LAS,3,1,False,,,,,,,none,NONE,,False,0.5
מק_חולון_14,"DIBROMO-3-CHLOROPROPA1,2 NE",5,1,False,,,,,,,none,NONE,,False,0.3
מק_חולון_14,"DICHLOR BENZEN 1,2",10,2,False,,,,,,,none,NONE,,False,600
מק_חולון_14,"DICHLOROBENZEN 1,4",10,2,False,,,,,,,none,NONE,,False,75
מק_חולון_14,"DICHLOROETHANE1,2",10,2,False,,,,,,,none,NONE,,False,4
מק_חולון_14,"DICHLOROETHYLENE 1,1",25,15,True,-0.844389,0.398452,1.8837,0.0596055,0.558236,,5y,STABLE,No significant trend (p=0.398); Mann-Kendall Z=-0.84,False,10
מק_חולון_14,DICHLOROMETHANE,16,6,True,,,-0.433861,0.664389,0,,5y,NONE,Insufficient signal for trend assessment (SNR below threshold),True,5
מק_חולון_14,"DICHLOROPHENOXY ACETI2,4 C ACID",6,1,False,,,,,,,none,NONE,,False,30
מק_חולון_14,DINOSEB,1,0,False,,,,,,,none,NONE,,False,7
מק_חולון_14,DISSOLVED MATTER AT 180C DEGR,1,1,True,,,,,,,none,NONE,,False,
מק_חולון_14,DISSOLVED OXYGEN AS O2,2,1,True,,,,,,,none,NONE,,False,
מק_חולון_14,Dieldrin,2,0,False,,,,,,,none,NONE,,False,0.05
מק_חולון_14,Dimethoate,3,0,False,,,,,,,none,NONE,,False,6
מק_חולון_14,ENDRIN,1,0,False,,,,,,,none,NONE,,False,2
מק_חולון_14,ETHYL BENZENE,10,2,False,,,,,,,none,NONE,,False,300
מק_חולון_14,ETHYLENE DI BROMIDE,5,1,False,,,,,,,none,NONE,,False,0.05
מק_חולון_14,FECAL COLIFORM MF PRO,36,36,False,,,,,,,none,NONE,,False,10
מק_חולון_14,FIELD ELECTRICAL CONDUCTIVITY,10,5,True,0.244949,0.806496,0.894427,0.371093,0.5398,,5y,STABLE,No significant trend (p=0.806); Mann-Kendall Z=0.24,False,
מק_חולון_14,FIELD TURBIDITY,73,61,True,1.98414,0.04724,4.00979,6.07734e-05,0.344788,,5y,INCREASING,Rising trend (p=0.047); Mann-Kendall Z=1.98,False,
מק_חולון_14,FLUORIDE AS F,3,1,True,,,,,,,none,NONE,,False,1.7
מק_חולון_14,FORMALDEHYDE,3,0,False,,,,,,,none,NONE,,False,900
מק_חולון_14,HARDNESS AS CACO3,3,1,True,,,,,,,none,NONE,,True,200
מק_חולון_14,HEPTACHLOR,6,1,False,,,,,,,none,NONE,,False,0.4
מק_חולון_14,HEPTACHLOR EPOXIDE,6,1,False,,,,,,,none,NONE,,False,0.2
מק_חולון_14,IRON TOTAL AS FE,5,1,True,,,-1.51587,0.129551,0,1.17434,full_record,STABLE,No significant trend (p=0.130); Mann-Kendall Z=-1.52 (full record — 5-year window insufficient),False,1000
מק_חולון_14,LEAD AS PB,5,1,False,,,,,,,none,NONE,,False,10
מק_חולון_14,LINDANE,6,1,False,,,,,,,none,NONE,,False,1
מק_חולון_14,LITHIUM,3,0,True,,,,,,,none,NONE,,False,
מק_חולון_14,Lab EC comp to 25 C DEGR,9,6,True,0,1,2.09657,0.0360317,0.136738,,5y,NONE,Insufficient signal for trend assessment (SNR below threshold),False,
מק_חולון_14,MAGNESIUM AS MG,4,1,True,,,1.69842,0.0894294,0,1.23499,full_record,INCREASING,Rising trend (p=0.089); Mann-Kendall Z=1.70 (full record — 5-year window insufficient),False,150
מק_חולון_14,MANGANESE TOTAL AS MN,5,1,False,,,,,,,none,NONE,,False,200
מק_חולון_14,MERCURY AS HG,3,1,False,,,,,,,none,NONE,,False,1
מק_חולון_14,METHOXYCHLOR,1,0,False,,,,,,,none,NONE,,False,20
מק_חולון_14,METOLACHLOR,2,0,False,,,,,,,none,NONE,,False,10
מק_חולון_14,MOLYBDENUM,5,1,False,,,,,,,none,NONE,,False,70
מק_חולון_14,MONOCHLOROBENZENE,10,2,False,,,,,,,none,NONE,,False,100
מק_חולון_14,NICKEL AS NI,5,1,True,,,0.353553,0.723674,0,0.745356,full_record,STABLE,No significant trend (p=0.724); Mann-Kendall Z=0.35 (full record — 5-year window insufficient),False,20
מק_חולון_14,NITRATE AS NO3,26,7,True,1.90532,0.0567382,4.50671,6.58419e-06,1.24352,,5y,INCREASING,Rising trend (p=0.057); Mann-Kendall Z=1.91,False,70
מק_חולון_14,NITRITE AS NO2,12,0,False,,,,,,,none,NONE,,False,3
מק_חולון_14,OIL AND GREASE,1,0,False,,,,,,,none,NONE,,False,300
מק_חולון_14,OXAMYL,1,0,False,,,,,,,none,NONE,,False,200
מק_חולון_14,PENTACHLOROPHENOL,1,0,False,,,,,,,none,NONE,,False,3
מק_חולון_14,PERMETRINE,1,0,False,,,,,,,none,NONE,,False,
מק_חולון_14,PH MEASURED  IN FIELD,11,5,True,-1.51587,0.129551,-0.626608,0.530916,1.59364,,5y,STABLE,No significant trend (p=0.130); Mann-Kendall Z=-1.52,False,
מק_חולון_14,PHENOLS AS C6H5OH,2,0,False,,,,,,,none,NONE,,False,2
מק_חולון_14,PHOSPHATES AS PO4,1,0,True,,,,,,,none,NONE,,False,
מק_חולון_14,POTASSIUM AS K,4,1,True,,,0,1,0,0.522233,full_record,STABLE,No significant trend (p=1.000); Mann-Kendall Z=0.00 (full record — 5-year window insufficient),False,
מק_חולון_14,POTASSIUM AS K FOR BETA CORREC,1,1,True,,,,,,,none,NONE,,False,
מק_חולון_14,Per-FluoroOctaneSulfonate,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_14,Per-FluoroOctanoic Acid,2,2,False,,,,,,,none,NONE,,False,0.1
מק_חולון_14,Perfluorobutane Sulfonic Acid,1,1,False,,,,,,,none,NONE,,False,0.1
מק_חולון_14,Perfluoroheptanoic acid,1,1,False,,,,,,,none,NONE,,False,0.1
מק_חולון_14,Perfluorohexanesulfonic acid,1,1,False,,,,,,,none,NONE,,False,0.1
מק_חולון_14,Perfluorohexanoic acid,1,1,False,,,,,,,none,NONE,,False,0.1
מק_חולון_14,SELENIUM AS SE,5,1,False,,,,,,,none,NONE,,False,10
מק_חולון_14,SILICA AS SIO2,1,0,True,,,,,,,none,NONE,,False,
מק_חולון_14,SILVER,5,1,False,,,,,,,none,NONE,,False,100
מק_חולון_14,SIMAZINE,6,1,False,,,,,,,none,NONE,,False,2
מק_חולון_14,SODIUM AS NA,4,1,True,,,0.339683,0.734095,0,0.225494,full_record,NONE,Insufficient signal for trend assessment (SNR below threshold),False,
מק_חולון_14,STRONTIUM AS SR,3,0,True,,,,,,,none,NONE,,False,
מק_חולון_14,STYRENE,10,2,False,,,,,,,none,NONE,,False,50
מק_חולון_14,SULFATE AS SO4,3,1,True,,,,,,,none,NONE,,False,250
מק_חולון_14,"T-2,4,5",1,0,False,,,,,,,none,NONE,,False,9
מק_חולון_14,TEMPERATURE CENTIGRADE,8,5,True,-1.22474,0.220671,-0.866025,0.386476,1.55526,,5y,STABLE,No significant trend (p=0.221); Mann-Kendall Z=-1.22,False,
מק_חולון_14,TETRACHLORO ETHYLENE,15,2,True,,,-1.18463,0.236165,0,0.579142,full_record,STABLE,No significant trend (p=0.236); Mann-Kendall Z=-1.18 (full record — 5-year window insufficient),False,10
מק_חולון_14,THALLIUM,1,1,False,,,,,,,none,NONE,,False,2
מק_חולון_14,TIN AS SN,2,0,False,,,,,,,none,NONE,,False,
מק_חולון_14,TOLUENE,11,2,True,,,0.474342,0.635256,0,0.552771,full_record,STABLE,No significant trend (p=0.635); Mann-Kendall Z=0.47 (full record — 5-year window insufficient),False,700
מק_חולון_14,TOT.COLIF.MF PROCED,36,36,True,0.794206,0.427076,0.794206,0.427076,0,,5y,NONE,Insufficient signal for trend assessment (SNR below threshold),False,50
מק_חולון_14,TOTAL ORGANIC CARBON,12,6,True,1.23334,0.217449,1.26623,0.20543,1.42566,,5y,STABLE,No significant trend (p=0.217); Mann-Kendall Z=1.23,False,
מק_חולון_14,"TRANS-1,2 DICHLOROETHYLENE",10,2,False,,,,,,,none,NONE,,False,50
מק_חולון_14,"TRICHLORO ETHANE 1,1,1",10,2,False,,,,,,,none,NONE,,False,200
מק_חולון_14,TRICHLORO ETHYLENE,44,19,True,-0.769683,0.441488,-2.67213,0.00753726,0.690279,,5y,STABLE,No significant trend (p=0.441); Mann-Kendall Z=-0.77,True,7.5
מק_חולון_14,"TRICHLORO PHENOXY 2,4,5 PROPIO",2,0,False,,,,,,,none,NONE,,False,10
מק_חולון_14,TRIFLORILEN,6,1,False,,,,,,,none,NONE,,False,20
מק_חולון_14,URANIUM,1,1,True,,,,,,,none,NONE,,False,15
