canonical_well_id,family,max_value_window,max_value_date,window_start,window_end,lead_parameter_by_family,ratio_to_dws,severity_index,dws_reference_value
נד_אגד_אזור_15,FUEL,8630.0,2024-02-26,2021-02-16,2026-02-15,TOLUENE,1232.9,8,700.0
נד_אגד_אזור_15,METALS,0.1,2024-02-26,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_16,FUEL,3750.0,2024-01-15,2021-02-16,2026-02-15, MTBE,9375.0,8,40.0
נד_אגד_אזור_16,METALS,0.2,2024-01-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_17,FUEL,101.0,2024-03-05,2021-02-16,2026-02-15,TOLUENE,14.4,3,700.0
נד_אגד_אזור_17,METALS,0.1,2024-03-05,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_18,FUEL,8900.0,2024-03-05,2021-02-16,2026-02-15,TOLUENE,1271.4,8,700.0
נד_אגד_אזור_18,METALS,0.2,2024-03-05,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_2,FUEL,60.0,2021-04-07,2021-02-16,2026-02-15, MTBE,150.0,5,40.0
נד_אגד_אזור_2,METALS,0.6,2024-01-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_3,FUEL,4300.0,2021-04-07,2021-02-16,2026-02-15, MTBE,10750.0,8,40.0
נד_אגד_אזור_3,METALS,2.89,2022-08-09,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_4,FUEL,26900.0,2024-01-15,2021-02-16,2026-02-15,TOLUENE,3842.9,8,700.0
נד_אגד_אזור_4,METALS,0.48,2022-04-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_5,FUEL,1180.0,2022-12-07,2021-02-16,2026-02-15, MTBE,2950.0,8,40.0
נד_אגד_אזור_5,METALS,0.6,2025-02-23,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_6,FUEL,16600.0,2024-01-15,2021-02-16,2026-02-15, MTBE,41500.0,8,40.0
נד_אגד_אזור_6,METALS,0.54,2022-12-07,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_7,FUEL,14600.0,2022-04-15,2021-02-16,2026-02-15, MTBE,36500.0,8,40.0
נד_אגד_אזור_7,METALS,0.5,2021-04-07,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_8,FUEL,2060.0,2022-04-15,2021-02-16,2026-02-15, MTBE,5150.0,8,40.0
נד_אגד_אזור_8,METALS,0.96,2022-04-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_9,FUEL,5400.0,2021-04-07,2021-02-16,2026-02-15, MTBE,13500.0,8,40.0
נד_אגד_אזור_9,METALS,1.7,2024-01-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_n1,FUEL,1550.0,2025-02-23,2021-02-16,2026-02-15, MTBE,3875.0,8,40.0
נד_אגד_אזור_n1,METALS,0.4,2024-03-05,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_n2,FUEL,1820.0,2025-02-23,2021-02-16,2026-02-15, MTBE,4550.0,8,40.0
נד_אגד_אזור_n2,METALS,0.3,2024-03-05,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_n3,FUEL,1260.0,2025-02-23,2021-02-16,2026-02-15, MTBE,3150.0,8,40.0
נד_אגד_אזור_n3,METALS,0.3,2024-03-05,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_n4,FUEL,2730.0,2024-03-05,2021-02-16,2026-02-15,XYLENE,546.0,7,500.0
נד_אגד_אזור_n4,METALS,0.4,2025-02-23,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_איזור_7,FUEL,14600.0,2022-04-15,2021-02-16,2026-02-15, MTBE,36500.0,8,40.0
נד_אגד_איזור_7,METALS,0.25,2022-04-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_הצבי_1,CVOC,66.871,2023-09-14,2021-02-16,2026-02-15,TETRACHLORO ETHYLENE,668.7,7,10.0
נד_דלק_הצבי_1,FUEL,2100.0,2021-04-26,2021-02-16,2026-02-15, MTBE,5250.0,8,40.0
נד_דלק_הצבי_1,METALS,3322.0,2023-09-14,2021-02-16,2026-02-15,MANGANESE TOTAL AS MN,1661.0,8,200.0
נד_דלק_הצבי_1,PFAS,0.0,2023-09-14,2021-02-16,2026-02-15,Perfluorodecanoic acid,0.0,0,0.1
נד_דלק_הצבי_2,CVOC,246.0,2023-09-14,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,3280.0,8,7.5
נד_דלק_הצבי_2,FUEL,2300.0,2021-09-19,2021-02-16,2026-02-15, MTBE,5750.0,8,40.0
נד_דלק_הצבי_2,METALS,1476.0,2023-09-14,2021-02-16,2026-02-15,MANGANESE TOTAL AS MN,738.0,7,200.0
נד_דלק_הצבי_2,PFAS,0.0,2023-09-14,2021-02-16,2026-02-15,Perfluorodecanoic acid,0.0,0,0.1
נד_דלק_השבעה_נ/1,FUEL,6.0,2025-02-02,2021-02-16,2026-02-15,XYLENE,1.2,1,500.0
נד_דלק_השבעה_נ/1,METALS,4.25,2025-02-02,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_מובילי_גוש_דן_2,FUEL,14.0,2022-04-24,2021-02-16,2026-02-15,XYLENE,2.8,1,500.0
נד_דלק_מובילי_גוש_דן_2,METALS,1.8,2025-05-04,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_מרכבות_האש_1,FUEL,7380.0,2023-03-01,2021-02-16,2026-02-15, MTBE,18450.0,8,40.0
נד_דלק_מרכבות_האש_1,METALS,2.18,2023-03-01,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_מרכבות_האש_2,FUEL,5150.0,2023-03-01,2021-02-16,2026-02-15, MTBE,12875.0,8,40.0
נד_דלק_מרכבות_האש_2,METALS,0.89,2025-05-14,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_מרכבות_האש_3,FUEL,186.0,2023-05-30,2021-02-16,2026-02-15, MTBE,465.0,6,40.0
נד_דלק_מרכבות_האש_3,METALS,9.54,2023-05-30,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_מרכבות_האש_4,FUEL,3150.0,2024-01-15,2021-02-16,2026-02-15, MTBE,7875.0,8,40.0
נד_דלק_מרכבות_האש_4,METALS,5.07,2025-05-14,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_מרכבות_האש_5,FUEL,1480.0,2024-01-15,2021-02-16,2026-02-15, MTBE,3700.0,8,40.0
נד_דלק_מרכבות_האש_5,METALS,10.61,2024-01-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דלק_מרכבות_האש_6,FUEL,610.0,2024-01-15,2021-02-16,2026-02-15, MTBE,1525.0,8,40.0
נד_דלק_מרכבות_האש_6,METALS,11.38,2024-01-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דן_חולון_1,FUEL,9.7,2021-03-16,2021-02-16,2026-02-15,BENZENE,194.0,5,5.0
נד_דן_חולון_1,METALS,1.55,2025-07-16,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_דן_חולון_2,FUEL,5.0,2021-03-16,2021-02-16,2026-02-15,TOLUENE,0.7,0,700.0
נד_דן_חולון_2,METALS,6.2,2022-04-03,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_המרכבה_ק2,FUEL,100.0,2021-03-16,2021-02-16,2026-02-15, MTBE,250.0,6,40.0
נד_המרכבה_ק2,METALS,0.1,2021-03-16,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_המרכבה_ק3,CVOC,0.0,2021-04-11,2021-02-16,2026-02-15,"1,1,2-trichloroethane",0.0,0,5.0
נד_המרכבה_ק3,FUEL,480.0,2021-03-16,2021-02-16,2026-02-15, MTBE,1200.0,8,40.0
נד_המרכבה_ק3,METALS,1399.55,2021-04-11,2021-02-16,2026-02-15,MANGANESE TOTAL AS MN,699.8,7,200.0
נד_טן_חולון_1,FUEL,30.0,2021-05-23,2021-02-16,2026-02-15,XYLENE,6.0,2,500.0
נד_טן_חולון_1,METALS,6.59,2023-06-01,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_מרכבות_האש_7,FUEL,3100.0,2023-05-30,2021-02-16,2026-02-15, MTBE,7750.0,8,40.0
נד_מרכבות_האש_7,METALS,1.28,2025-05-14,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_מרכבות_האש_8,FUEL,5290.0,2024-01-15,2021-02-16,2026-02-15,TOLUENE,755.7,7,700.0
נד_מרכבות_האש_8,METALS,0.7,2025-05-14,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_מרכבות_האש_9,FUEL,2730.0,2023-05-30,2021-02-16,2026-02-15, MTBE,6825.0,8,40.0
נד_מרכבות_האש_9,METALS,1.69,2025-05-14,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_סונול_המלאכה_מ-1,CVOC,2789.109,2023-01-30,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,37188.1,8,7.5
נד_סונול_המלאכה_מ-1,FUEL,30.433,2023-01-30,2021-02-16,2026-02-15,XYLENE,6.1,2,500.0
נד_סונול_המלאכה_מ-1,METALS,465.0,2026-01-08,2021-02-16,2026-02-15,STRONTIUM AS SR,,0,
נד_סונול_המלאכה_ק-1,CVOC,314.37,2026-01-08,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,4191.6,8,7.5
נד_סונול_המלאכה_ק-1,FUEL,740.0,2021-05-31,2021-02-16,2026-02-15, MTBE,1850.0,8,40.0
נד_סונול_המלאכה_ק-1,METALS,471.0,2026-01-08,2021-02-16,2026-02-15,STRONTIUM AS SR,,0,
נד_סונול_מרכבה_1,CVOC,4.0,2022-07-17,2021-02-16,2026-02-15,TETRACHLORO ETHYLENE,40.0,3,10.0
נד_סונול_מרכבה_1,FUEL,3.0,2022-07-17,2021-02-16,2026-02-15,XYLENE,0.6,0,500.0
נד_סונול_מרכבה_1,METALS,214.431,2022-07-17,2021-02-16,2026-02-15,SULFATE AS SO4,85.8,4,250.0
נד_סונול_משמר_השבעה_1,FUEL,5.0,2024-09-09,2021-02-16,2026-02-15, MTBE,12.5,3,40.0
נד_סונול_משמר_השבעה_1,METALS,0.4,2024-09-09,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_סונול_משמר_השבעה_2,FUEL,210.0,2024-09-09,2021-02-16,2026-02-15,BENZENE,4200.0,8,5.0
נד_סונול_משמר_השבעה_2,METALS,0.5,2024-09-09,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_סונול_משמר_השבעה_3,FUEL,2.0,2024-09-09,2021-02-16,2026-02-15,TOLUENE,0.3,0,700.0
נד_סונול_משמר_השבעה_3,METALS,2.0,2021-09-19,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_סונול_משמר_השבעה_4,FUEL,4.0,2024-09-09,2021-02-16,2026-02-15,XYLENE,0.8,0,500.0
נד_סונול_משמר_השבעה_4,METALS,1.7,2022-03-30,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_סונול_משמר_השבעה_5,FUEL,34.0,2023-09-03,2021-02-16,2026-02-15, MTBE,85.0,4,40.0
נד_סונול_משמר_השבעה_5,METALS,0.6,2022-03-30,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_פז_סיירים_1,FUEL,12.0,2021-02-23,2021-02-16,2026-02-15,XYLENE,2.4,1,500.0
נד_פז_סיירים_1,METALS,8.1,2022-12-18,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_פז_סיירים_2,FUEL,5119.0,2022-12-18,2021-02-16,2026-02-15,XYLENE,1023.8,8,500.0
נד_פז_סיירים_2,METALS,3.78,2025-05-25,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_פז_סיירים_3,FUEL,14.0,2022-12-18,2021-02-16,2026-02-15, MTBE,35.0,3,40.0
נד_פז_סיירים_3,METALS,5.1,2024-06-17,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_פז_סיירים_4,CVOC,0.0,2021-04-20,2021-02-16,2026-02-15,"1,1,2-trichloroethane",0.0,0,5.0
נד_פז_סיירים_4,FUEL,416.0,2024-06-17,2021-02-16,2026-02-15,XYLENE,83.2,4,500.0
נד_פז_סיירים_4,METALS,338.0,2021-04-20,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נד_פז_צבר_1,FUEL,743.0,2022-02-15,2021-02-16,2026-02-15,BENZENE,14860.0,8,5.0
נד_פז_צבר_1,METALS,2.1,2023-02-22,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_פז_צבר_2,FUEL,5279.0,2022-02-15,2021-02-16,2026-02-15,XYLENE,1055.8,8,500.0
נד_פז_צבר_2,METALS,2.6,2023-02-22,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_פז_צבר_5,FUEL,5.0,2021-10-10,2021-02-16,2026-02-15,TOLUENE,0.7,0,700.0
נד_פז_צבר_5,METALS,8.0,2022-02-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_פז_צבר_6,FUEL,5.0,2021-10-10,2021-02-16,2026-02-15,TOLUENE,0.7,0,700.0
נד_פז_צבר_6,METALS,4.8,2023-02-22,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נת_ארן__מטל_חולון,CVOC,1.0,2022-06-15,2021-02-16,2026-02-15,"1,1-dichloroethane",,0,
נת_ארן__מטל_חולון,FUEL,4.68,2022-06-15,2021-02-16,2026-02-15,XYLENE,0.9,0,500.0
נת_ארן__מטל_חולון,METALS,524.0,2023-08-13,2021-02-16,2026-02-15,STRONTIUM AS SR,,0,
נת_ארן_מטל_חולון_1,CVOC,85.414,2024-11-18,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,1138.9,8,7.5
נת_ארן_מטל_חולון_1,FUEL,5.403,2021-04-20,2021-02-16,2026-02-15,XYLENE,1.1,1,500.0
נת_ארן_מטל_חולון_1,METALS,1966.87,2022-06-22,2021-02-16,2026-02-15,IRON TOTAL AS FE,196.7,5,1000.0
נת_חווה_חקלאית_א,CVOC,38.8,2026-02-15,2021-02-16,2026-02-15,"1,4 DIOXANE",1293.3,8,3.0
נת_חווה_חקלאית_ב,CVOC,6.5,2026-02-15,2021-02-16,2026-02-15,"1,4 DIOXANE",216.7,6,3.0
נת_חולון_1,CVOC,419.293,2024-11-18,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,5590.6,8,7.5
נת_חולון_1,FUEL,1000.0,2024-02-19,2021-02-16,2026-02-15,BENZENE,20000.0,8,5.0
נת_חולון_1,METALS,642.0,2023-08-09,2021-02-16,2026-02-15,STRONTIUM AS SR,,0,
נת_חולון_11,CVOC,5149.508,2024-11-18,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,68660.1,8,7.5
נת_חולון_11,FUEL,6.143,2024-11-18,2021-02-16,2026-02-15, MTBE,15.4,3,40.0
נת_חולון_11,METALS,412.0,2024-11-18,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_12,CVOC,21.235,2024-11-27,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,283.1,6,7.5
נת_חולון_12,FUEL,10.352,2021-05-26,2021-02-16,2026-02-15,XYLENE,2.1,1,500.0
נת_חולון_12,METALS,362.0,2021-05-26,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_13,CVOC,0.0,2026-02-10,2021-02-16,2026-02-15,"1,4 DIOXANE",0.0,0,3.0
נת_חולון_13,METALS,524.0,2026-02-10,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_14,CVOC,279.672,2022-06-15,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,3729.0,8,7.5
נת_חולון_14,FUEL,4.008,2022-06-15,2021-02-16,2026-02-15,XYLENE,0.8,0,500.0
נת_חולון_14,METALS,400.0,2021-05-19,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_16,CVOC,337.998,2024-11-18,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,4506.6,8,7.5
נת_חולון_16,FUEL,6.527,2021-04-20,2021-02-16,2026-02-15,XYLENE,1.3,1,500.0
נת_חולון_16,METALS,547.0,2021-04-20,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_2,CVOC,1256.288,2022-06-08,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,16750.5,8,7.5
נת_חולון_2,FUEL,3.0,2022-06-08,2021-02-16,2026-02-15,XYLENE,0.6,0,500.0
נת_חולון_2,METALS,400.0,2021-04-13,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_21,CVOC,175.683,2024-11-27,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,2342.4,8,7.5
נת_חולון_21,FUEL,1.0,2024-11-27,2021-02-16,2026-02-15,BENZENE,20.0,3,5.0
נת_חולון_21,METALS,565.0,2022-11-14,2021-02-16,2026-02-15,FERROUS IRON DISSOLVED AS FE,,0,
נת_חולון_22,CVOC,608.6,2023-02-08,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,8114.7,8,7.5
נת_חולון_22,FUEL,8.6,2022-11-14,2021-02-16,2026-02-15, MTBE,21.5,3,40.0
נת_חולון_22,METALS,8730.0,2022-11-14,2021-02-16,2026-02-15,MANGANESE TOTAL AS MN,4365.0,8,200.0
נת_חולון_23,CVOC,76.446,2024-11-27,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,1019.3,8,7.5
נת_חולון_23,FUEL,3.6,2023-02-06,2021-02-16,2026-02-15,XYLENE,0.7,0,500.0
נת_חולון_23,METALS,3610.0,2022-11-14,2021-02-16,2026-02-15,FERROUS IRON DISSOLVED AS FE,,0,
נת_חולון_24,CVOC,146.9,2023-02-06,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,1958.7,8,7.5
נת_חולון_24,FUEL,3.6,2023-02-06,2021-02-16,2026-02-15,XYLENE,0.7,0,500.0
נת_חולון_24,METALS,1470.0,2022-11-14,2021-02-16,2026-02-15,FERROUS IRON DISSOLVED AS FE,,0,
נת_חולון_25,CVOC,262.0,2023-02-10,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,3493.3,8,7.5
נת_חולון_25,FUEL,2.8,2022-11-18,2021-02-16,2026-02-15, MTBE,7.0,2,40.0
נת_חולון_25,METALS,340.0,2022-11-18,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_26,CVOC,163.0,2023-02-06,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,2173.3,8,7.5
נת_חולון_26,FUEL,3.0,2023-02-06,2021-02-16,2026-02-15,XYLENE,0.6,0,500.0
נת_חולון_26,METALS,4035.9,2023-02-06,2021-02-16,2026-02-15,CHROMIUM AS CR,8071.8,8,50.0
נת_חולון_3,CVOC,339.644,2021-04-19,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,4528.6,8,7.5
נת_חולון_3,FUEL,1.0,2021-04-19,2021-02-16,2026-02-15, MTBE,2.5,1,40.0
נת_חולון_3,METALS,511.262,2022-06-22,2021-02-16,2026-02-15,CHLORIDE AS CL,127.8,5,400.0
נת_חולון_5,CVOC,634.517,2023-01-04,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,8460.2,8,7.5
נת_חולון_5,FUEL,58.712,2023-01-04,2021-02-16,2026-02-15, MTBE,146.8,5,40.0
נת_חולון_5,METALS,325.0,2023-01-04,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_6,CVOC,10.479,2023-01-12,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,139.7,5,7.5
נת_חולון_6,FUEL,1.0,2023-01-12,2021-02-16,2026-02-15,BENZENE,20.0,3,5.0
נת_חולון_6,METALS,293.0,2023-01-12,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_חולון_7,CVOC,569.088,2023-01-04,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,7587.8,8,7.5
נת_חולון_7,FUEL,3.0,2023-01-04,2021-02-16,2026-02-15,XYLENE,0.6,0,500.0
נת_חולון_7,METALS,332.0,2023-01-04,2021-02-16,2026-02-15,BICARBONATE AS HCO3,,0,
נת_תדירגן_2,METALS,2.27,2023-08-13,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
פ_מקוה_ישראל_רוטשילד,METALS,230.4,2023-06-15,2021-02-16,2026-02-15,CHLORIDE AS CL,57.6,4,400.0
