borehole,name_he,family,param_code,param_name,date,concentration,unit,drinking_water_standard,pct_of_standard,year
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2022-04-15,2120.0,microgr/L,40.0,5300.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2022-08-09,5110.0,microgr/L,40.0,12775.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2022-12-07,6410.0,microgr/L,40.0,16025.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2024-01-15,24200.0,microgr/L,40.0,60500.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2024-02-26,24200.0,microgr/L,40.0,60500.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2025-02-23,7200.0,microgr/L,40.0,18000.0,2025
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2017-02-15,3440.0,microgr/L,5.0,68800.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2017-04-09,1870.0,microgr/L,5.0,37400.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2017-07-17,2126.0,microgr/L,5.0,42520.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2018-10-25,3504.0,microgr/L,5.0,70080.0,2018
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2019-04-01,2925.0,microgr/L,5.0,58500.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2019-07-17,3170.0,microgr/L,5.0,63400.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2020-08-03,2201.0,microgr/L,5.0,44020.0,2020
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2020-12-31,2077.0,microgr/L,5.0,41540.0,2020
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2021-04-07,4700.0,microgr/L,5.0,94000.0,2021
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2022-04-15,2320.0,microgr/L,5.0,46400.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2022-08-09,259.0,microgr/L,5.0,5180.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2022-12-07,731.0,microgr/L,5.0,14620.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2024-01-15,11400.0,microgr/L,5.0,228000.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2024-02-26,11400.0,microgr/L,5.0,228000.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,BENZENE,BENZENE,2025-02-23,4250.0,microgr/L,5.0,85000.0,2025
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2017-02-15,1500.0,microgr/L,300.0,500.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2017-04-09,860.0,microgr/L,300.0,286.67,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2018-10-25,3404.0,microgr/L,300.0,1134.67,2018
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2019-04-01,1668.0,microgr/L,300.0,556.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2019-07-17,2751.0,microgr/L,300.0,917.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2020-08-03,1652.0,microgr/L,300.0,550.67,2020
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2020-12-31,1636.0,microgr/L,300.0,545.33,2020
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2021-04-07,1600.0,microgr/L,300.0,533.33,2021
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2022-04-15,1070.0,microgr/L,300.0,356.67,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2022-08-09,407.0,microgr/L,300.0,135.67,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2022-12-07,572.0,microgr/L,300.0,190.67,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-01-15,3550.0,microgr/L,300.0,1183.33,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-02-26,3550.0,microgr/L,300.0,1183.33,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2025-02-23,416.0,microgr/L,300.0,138.67,2025
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2017-02-15,12220.0,microgr/L,700.0,1745.71,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2017-04-09,7420.0,microgr/L,700.0,1060.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2017-07-17,3511.0,microgr/L,700.0,501.57,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2018-10-25,5925.0,microgr/L,700.0,846.43,2018
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2019-04-01,3417.0,microgr/L,700.0,488.14,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2019-07-17,6495.0,microgr/L,700.0,927.86,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2022-12-07,715.0,microgr/L,700.0,102.14,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2024-01-15,30100.0,microgr/L,700.0,4300.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2024-02-26,30100.0,microgr/L,700.0,4300.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,TOLUENE,TOLUENE,2025-02-23,6960.0,microgr/L,700.0,994.29,2025
נד_אגד_אזור_1,נד אגד אזור 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2019-04-01,25.0,microgr/L,0.5,5000.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2019-07-17,21.0,microgr/L,0.5,4200.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2017-02-15,6140.0,microgr/L,500.0,1228.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2017-04-09,4640.0,microgr/L,500.0,928.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2017-07-17,1768.0,microgr/L,500.0,353.6,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2018-10-25,10513.0,microgr/L,500.0,2102.6,2018
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2019-04-01,3645.0,microgr/L,500.0,729.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2019-07-17,11408.0,microgr/L,500.0,2281.6,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2020-12-31,4624.0,microgr/L,500.0,924.8,2020
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2021-04-07,1640.0,microgr/L,500.0,328.0,2021
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2022-08-09,1740.0,microgr/L,500.0,348.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2022-12-07,2080.0,microgr/L,500.0,416.0,2022
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2024-01-15,22400.0,microgr/L,500.0,4480.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2024-02-26,22400.0,microgr/L,500.0,4480.0,2024
נד_אגד_אזור_1,נד אגד אזור 1,FUEL,XYLENE,XYLENE,2025-02-23,805.0,microgr/L,500.0,161.0,2025
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2019-07-17,236.0,microgr/L,40.0,590.0,2019
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2020-08-03,639.0,microgr/L,40.0,1597.5,2020
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2020-12-31,67.0,microgr/L,40.0,167.5,2020
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2021-04-07,67.0,microgr/L,40.0,167.5,2021
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2022-04-15,553.0,microgr/L,40.0,1382.5,2022
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2022-08-09,831.0,microgr/L,40.0,2077.5,2022
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2022-12-07,893.0,microgr/L,40.0,2232.5,2022
נד_אגד_אזור_10,נד אגד אזור 10,FUEL, MTBE,MTBE,2024-01-15,360.0,microgr/L,40.0,900.0,2024
נד_אגד_אזור_10,נד אגד אזור 10,FUEL,BENZENE,BENZENE,2020-08-03,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_10,נד אגד אזור 10,FUEL,BENZENE,BENZENE,2020-08-06,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_10,נד אגד אזור 10,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2019-07-17,11.0,microgr/L,10.0,110.0,2019
נד_אגד_אזור_10,נד אגד אזור 10,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-07-17,28.0,microgr/L,7.5,373.33,2019
נד_אגד_אזור_11,נד אגד אזור 11,FUEL, MTBE,MTBE,2020-08-03,1566.0,microgr/L,40.0,3915.0,2020
נד_אגד_אזור_11,נד אגד אזור 11,FUEL, MTBE,MTBE,2020-12-31,3446.0,microgr/L,40.0,8615.0,2020
נד_אגד_אזור_11,נד אגד אזור 11,FUEL, MTBE,MTBE,2021-04-07,4200.0,microgr/L,40.0,10500.0,2021
נד_אגד_אזור_11,נד אגד אזור 11,FUEL, MTBE,MTBE,2022-04-15,2770.0,microgr/L,40.0,6925.0,2022
נד_אגד_אזור_11,נד אגד אזור 11,FUEL, MTBE,MTBE,2022-08-09,2570.0,microgr/L,40.0,6425.0,2022
נד_אגד_אזור_11,נד אגד אזור 11,FUEL, MTBE,MTBE,2022-12-07,3490.0,microgr/L,40.0,8725.0,2022
נד_אגד_אזור_11,נד אגד אזור 11,FUEL, MTBE,MTBE,2024-03-05,2000.0,microgr/L,40.0,5000.0,2024
נד_אגד_אזור_11,נד אגד אזור 11,FUEL,BENZENE,BENZENE,2020-08-03,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_12,נד אגד אזור 12,FUEL, MTBE,MTBE,2020-08-03,267.0,microgr/L,40.0,667.5,2020
נד_אגד_אזור_12,נד אגד אזור 12,FUEL, MTBE,MTBE,2020-12-31,6871.0,microgr/L,40.0,17177.5,2020
נד_אגד_אזור_12,נד אגד אזור 12,FUEL, MTBE,MTBE,2021-04-07,6400.0,microgr/L,40.0,16000.0,2021
נד_אגד_אזור_12,נד אגד אזור 12,FUEL, MTBE,MTBE,2022-04-15,3060.0,microgr/L,40.0,7650.0,2022
נד_אגד_אזור_12,נד אגד אזור 12,FUEL, MTBE,MTBE,2022-08-09,13700.0,microgr/L,40.0,34250.0,2022
נד_אגד_אזור_12,נד אגד אזור 12,FUEL, MTBE,MTBE,2022-12-07,550.0,microgr/L,40.0,1375.0,2022
נד_אגד_אזור_12,נד אגד אזור 12,FUEL, MTBE,MTBE,2024-01-15,9660.0,microgr/L,40.0,24150.0,2024
נד_אגד_אזור_12,נד אגד אזור 12,FUEL,BENZENE,BENZENE,2020-08-03,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_12,נד אגד אזור 12,FUEL,BENZENE,BENZENE,2020-12-31,994.8,microgr/L,5.0,19896.0,2020
נד_אגד_אזור_12,נד אגד אזור 12,FUEL,BENZENE,BENZENE,2022-04-15,474.0,microgr/L,5.0,9480.0,2022
נד_אגד_אזור_12,נד אגד אזור 12,FUEL,BENZENE,BENZENE,2022-08-09,391.0,microgr/L,5.0,7820.0,2022
נד_אגד_אזור_12,נד אגד אזור 12,FUEL,BENZENE,BENZENE,2024-01-15,401.0,microgr/L,5.0,8020.0,2024
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2019-07-17,3272.0,microgr/L,40.0,8180.0,2019
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2020-08-03,5823.0,microgr/L,40.0,14557.5,2020
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2020-12-31,6189.0,microgr/L,40.0,15472.5,2020
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2021-04-07,110.0,microgr/L,40.0,275.0,2021
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2022-04-15,2010.0,microgr/L,40.0,5025.0,2022
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2022-08-09,1179.0,microgr/L,40.0,2947.5,2022
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2022-12-07,775.0,microgr/L,40.0,1937.5,2022
נד_אגד_אזור_13,נד אגד אזור 13,FUEL, MTBE,MTBE,2024-01-15,101.0,microgr/L,40.0,252.5,2024
נד_אגד_אזור_13,נד אגד אזור 13,FUEL,BENZENE,BENZENE,2020-08-03,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_13,נד אגד אזור 13,FUEL,BENZENE,BENZENE,2020-08-06,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_13,נד אגד אזור 13,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-07-17,188.0,microgr/L,7.5,2506.67,2019
נד_אגד_אזור_13,נד אגד אזור 13,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2019-07-17,0.6,microgr/L,0.5,120.0,2019
נד_אגד_אזור_14,נד אגד אזור 14,FUEL, MTBE,MTBE,2020-08-03,42.0,microgr/L,40.0,105.0,2020
נד_אגד_אזור_14,נד אגד אזור 14,FUEL, MTBE,MTBE,2020-12-31,94.0,microgr/L,40.0,235.0,2020
נד_אגד_אזור_14,נד אגד אזור 14,FUEL, MTBE,MTBE,2021-04-07,94.0,microgr/L,40.0,235.0,2021
נד_אגד_אזור_14,נד אגד אזור 14,FUEL, MTBE,MTBE,2022-04-15,58.4,microgr/L,40.0,146.0,2022
נד_אגד_אזור_14,נד אגד אזור 14,FUEL,BENZENE,BENZENE,2020-08-03,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_14,נד אגד אזור 14,FUEL,BENZENE,BENZENE,2020-12-31,14.0,microgr/L,5.0,280.0,2020
נד_אגד_אזור_14,נד אגד אזור 14,FUEL,BENZENE,BENZENE,2021-04-07,14.0,microgr/L,5.0,280.0,2021
נד_אגד_אזור_15,נד אגד אזור 15,FUEL, MTBE,MTBE,2024-02-26,5510.0,microgr/L,40.0,13775.0,2024
נד_אגד_אזור_15,נד אגד אזור 15,FUEL,BENZENE,BENZENE,2024-02-26,2990.0,microgr/L,5.0,59800.0,2024
נד_אגד_אזור_15,נד אגד אזור 15,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-02-26,787.0,microgr/L,300.0,262.33,2024
נד_אגד_אזור_15,נד אגד אזור 15,FUEL,TOLUENE,TOLUENE,2024-02-26,8630.0,microgr/L,700.0,1232.86,2024
נד_אגד_אזור_15,נד אגד אזור 15,FUEL,XYLENE,XYLENE,2024-02-26,3360.0,microgr/L,500.0,672.0,2024
נד_אגד_אזור_16,נד אגד אזור 16,FUEL, MTBE,MTBE,2024-01-15,3750.0,microgr/L,40.0,9375.0,2024
נד_אגד_אזור_17,נד אגד אזור 17,FUEL,BENZENE,BENZENE,2024-03-05,12.6,microgr/L,5.0,252.0,2024
נד_אגד_אזור_18,נד אגד אזור 18,FUEL, MTBE,MTBE,2024-03-05,1370.0,microgr/L,40.0,3425.0,2024
נד_אגד_אזור_18,נד אגד אזור 18,FUEL,BENZENE,BENZENE,2024-03-05,1960.0,microgr/L,5.0,39200.0,2024
נד_אגד_אזור_18,נד אגד אזור 18,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-03-05,759.0,microgr/L,300.0,253.0,2024
נד_אגד_אזור_18,נד אגד אזור 18,FUEL,TOLUENE,TOLUENE,2024-03-05,8900.0,microgr/L,700.0,1271.43,2024
נד_אגד_אזור_18,נד אגד אזור 18,FUEL,XYLENE,XYLENE,2024-03-05,4840.0,microgr/L,500.0,968.0,2024
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2017-02-15,380.0,microgr/L,40.0,950.0,2017
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2017-04-09,290.0,microgr/L,40.0,725.0,2017
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2017-07-17,140.0,microgr/L,40.0,350.0,2017
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2018-10-25,200.0,microgr/L,40.0,500.0,2018
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2019-04-01,286.0,microgr/L,40.0,715.0,2019
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2019-07-17,125.0,microgr/L,40.0,312.5,2019
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2020-08-03,52.0,microgr/L,40.0,130.0,2020
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2020-12-31,41.0,microgr/L,40.0,102.5,2020
נד_אגד_אזור_2,נד אגד אזור 2,FUEL, MTBE,MTBE,2021-04-07,60.0,microgr/L,40.0,150.0,2021
נד_אגד_אזור_2,נד אגד אזור 2,FUEL,BENZENE,BENZENE,2017-02-15,10.0,microgr/L,5.0,200.0,2017
נד_אגד_אזור_2,נד אגד אזור 2,FUEL,BENZENE,BENZENE,2017-04-09,60.0,microgr/L,5.0,1200.0,2017
נד_אגד_אזור_2,נד אגד אזור 2,FUEL,BENZENE,BENZENE,2017-07-17,10.0,microgr/L,5.0,200.0,2017
נד_אגד_אזור_2,נד אגד אזור 2,FUEL,BENZENE,BENZENE,2018-10-25,10.0,microgr/L,5.0,200.0,2018
נד_אגד_אזור_2,נד אגד אזור 2,FUEL,BENZENE,BENZENE,2020-08-03,10.0,microgr/L,5.0,200.0,2020
נד_אגד_אזור_2,נד אגד אזור 2,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2019-04-01,50.0,microgr/L,10.0,500.0,2019
נד_אגד_אזור_2,נד אגד אזור 2,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2019-07-17,64.0,microgr/L,10.0,640.0,2019
נד_אגד_אזור_2,נד אגד אזור 2,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-04-01,109.0,microgr/L,7.5,1453.33,2019
נד_אגד_אזור_2,נד אגד אזור 2,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-07-17,138.0,microgr/L,7.5,1840.0,2019
נד_אגד_אזור_2,נד אגד אזור 2,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2019-04-01,10.0,microgr/L,0.5,2000.0,2019
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2017-04-09,11060.0,microgr/L,40.0,27650.0,2017
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2017-07-17,12000.0,microgr/L,40.0,30000.0,2017
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2018-10-25,18826.0,microgr/L,40.0,47065.0,2018
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2019-04-01,13383.0,microgr/L,40.0,33457.5,2019
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2019-07-17,17218.0,microgr/L,40.0,43045.0,2019
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2020-08-03,7580.0,microgr/L,40.0,18950.0,2020
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2020-12-31,7837.0,microgr/L,40.0,19592.5,2020
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2021-04-07,4300.0,microgr/L,40.0,10750.0,2021
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2022-04-15,1640.0,microgr/L,40.0,4100.0,2022
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2022-08-09,1190.0,microgr/L,40.0,2975.0,2022
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2022-12-07,2640.0,microgr/L,40.0,6600.0,2022
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2024-01-15,1330.0,microgr/L,40.0,3325.0,2024
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2024-02-26,1330.0,microgr/L,40.0,3325.0,2024
נד_אגד_אזור_3,נד אגד אזור 3,FUEL, MTBE,MTBE,2025-02-23,378.0,microgr/L,40.0,945.0,2025
נד_אגד_אזור_3,נד אגד אזור 3,FUEL,BENZENE,BENZENE,2017-04-09,580.0,microgr/L,5.0,11600.0,2017
נד_אגד_אזור_3,נד אגד אזור 3,FUEL,BENZENE,BENZENE,2017-07-17,239.0,microgr/L,5.0,4780.0,2017
נד_אגד_אזור_3,נד אגד אזור 3,FUEL,BENZENE,BENZENE,2018-10-25,600.0,microgr/L,5.0,12000.0,2018
נד_אגד_אזור_3,נד אגד אזור 3,FUEL,BENZENE,BENZENE,2019-04-01,300.0,microgr/L,5.0,6000.0,2019
נד_אגד_אזור_3,נד אגד אזור 3,FUEL,BENZENE,BENZENE,2019-07-17,573.0,microgr/L,5.0,11460.0,2019
נד_אגד_אזור_3,נד אגד אזור 3,FUEL,BENZENE,BENZENE,2020-08-03,57.0,microgr/L,5.0,1140.0,2020
נד_אגד_אזור_3,נד אגד אזור 3,FUEL,BENZENE,BENZENE,2020-12-31,22.0,microgr/L,5.0,440.0,2020
נד_אגד_אזור_3,נד אגד אזור 3,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2019-04-01,197.0,microgr/L,50.0,394.0,2019
