borehole,name_he,family,param_code,param_name,max_date,max_concentration,unit,drinking_water_standard,pct_of_standard,n_since_2018
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2020-09-16,0.0,microgr/L,3.0,0.0,2
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2018-08-06,0.0,microgr/L,,,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,ARSENIC AS AS,ARSENIC AS AS,2018-08-06,0.0,microgr/L,10.0,0.0,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,BENZENE,BENZENE,2022-06-22,1.0,microgr/L,5.0,20.0,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,CADMIUM AS CD,CADMIUM AS CD,2018-08-06,0.0,microgr/L,5.0,0.0,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2020-09-16,0.0,microgr/L,4.0,0.0,5
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,CHLOROFORM,CHLOROFORM,2024-11-18,1.0,microgr/L,80.0,1.25,7
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2021-04-20,3.381,microgr/L,50.0,6.76,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2024-11-18,2.632,microgr/L,50.0,5.26,7
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2020-09-16,0.0,microgr/L,4.0,0.0,5
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2024-11-18,1.853,microgr/L,10.0,18.53,7
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2021-04-20,1.0,microgr/L,300.0,0.33,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,LEAD AS PB,LEAD AS PB,2018-08-06,0.0,microgr/L,10.0,0.0,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL, MTBE,MTBE,2018-08-06,0.0,microgr/L,40.0,0.0,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,NICKEL AS NI,NICKEL AS NI,2018-08-06,5.13,microgr/L,20.0,25.65,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2024-11-18,3.607,microgr/L,10.0,36.07,7
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,TOLUENE,TOLUENE,2022-06-22,4.777,microgr/L,700.0,0.68,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2024-11-18,1.0,microgr/L,50.0,2.0,7
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2024-11-18,85.414,microgr/L,7.5,1138.85,7
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2018-08-06,0.0,microgr/L,0.5,0.0,7
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,XYLENE,XYLENE,2021-04-20,5.403,microgr/L,500.0,1.08,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2018-08-06,0.0,microgr/L,,,6
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2020-09-16,0.0,microgr/L,3.0,0.0,3
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,BENZENE,BENZENE,2022-07-17,1.0,microgr/L,5.0,20.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2022-07-17,1.0,microgr/L,300.0,0.33,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL, MTBE,MTBE,2022-07-17,1.0,microgr/L,40.0,2.5,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,TOLUENE,TOLUENE,2022-07-17,1.0,microgr/L,700.0,0.14,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,XYLENE,XYLENE,2022-07-17,3.0,microgr/L,500.0,0.6,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2022-07-17,1.0,microgr/L,,,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2022-07-17,1.0,microgr/L,,,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2022-07-17,0.0,microgr/L,4.0,0.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,CHLOROFORM,CHLOROFORM,2022-07-17,0.0,microgr/L,80.0,0.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2022-07-17,0.0,microgr/L,50.0,0.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2022-07-17,0.0,microgr/L,4.0,0.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2022-07-17,0.0,microgr/L,10.0,0.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2022-07-17,4.0,microgr/L,10.0,40.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2022-07-17,0.0,microgr/L,50.0,0.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2022-07-17,1.0,microgr/L,7.5,13.33,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2022-07-17,0.0,microgr/L,0.5,0.0,1
נת_חולון_13,נת חולון 13,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2026-02-10,0.0,microgr/L,3.0,0.0,1
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,BENZENE,BENZENE,2021-12-02,5.0,microgr/L,5.0,100.0,12
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2020-06-21,35.0,microgr/L,300.0,11.67,12
נד_פז_סיירים_1,נד פז סיירים 1,FUEL, MTBE,MTBE,2022-06-21,7.0,microgr/L,40.0,17.5,12
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,TOLUENE,TOLUENE,2018-07-01,13.0,microgr/L,700.0,1.86,12
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,XYLENE,XYLENE,2020-06-21,39.0,microgr/L,500.0,7.8,12
מק_חולון_14,מק חולון 14,METALS,ARSENIC AS AS,ARSENIC AS AS,2021-07-04,0.9,microgr/L,10.0,9.0,1
מק_חולון_14,מק חולון 14,FUEL,BENZENE,BENZENE,2019-01-28,0.0,microgr/L,5.0,0.0,3
מק_חולון_14,מק חולון 14,METALS,CADMIUM AS CD,CADMIUM AS CD,2021-07-04,0.0,microgr/L,5.0,0.0,1
מק_חולון_14,מק חולון 14,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2019-01-28,0.3,microgr/L,4.0,7.5,22
מק_חולון_14,מק חולון 14,INDUSTRY,CHLOROFORM,CHLOROFORM,2019-01-28,0.0,microgr/L,80.0,0.0,3
מק_חולון_14,מק חולון 14,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2021-07-04,7.1,microgr/L,50.0,14.2,1
מק_חולון_14,מק חולון 14,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2019-01-28,0.0,microgr/L,50.0,0.0,3
מק_חולון_14,מק חולון 14,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2019-01-28,0.0,microgr/L,4.0,0.0,3
מק_חולון_14,מק חולון 14,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2021-10-04,0.8,microgr/L,10.0,8.0,18
מק_חולון_14,מק חולון 14,METALS,LEAD AS PB,LEAD AS PB,2021-07-04,0.0,microgr/L,10.0,0.0,1
מק_חולון_14,מק חולון 14,METALS,NICKEL AS NI,NICKEL AS NI,2021-07-04,0.0,microgr/L,20.0,0.0,1
מק_חולון_14,מק חולון 14,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2018-12-24,4.5,microgr/L,10.0,45.0,9
מק_חולון_14,מק חולון 14,FUEL,TOLUENE,TOLUENE,2018-12-24,7.5,microgr/L,700.0,1.07,4
מק_חולון_14,מק חולון 14,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2019-01-28,0.0,microgr/L,50.0,0.0,3
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2018-02-05,9.5,microgr/L,7.5,126.67,30
מק_חולון_14,מק חולון 14,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2019-01-28,0.0,microgr/L,0.5,0.0,3
מק_חולון_14,מק חולון 14,FUEL,XYLENE,XYLENE,2018-12-24,1.3,microgr/L,500.0,0.26,4
מק_חולון_14,מק חולון 14,FUEL,ETHYL BENZENE,ETHYL BENZENE,2018-12-24,0.0,microgr/L,300.0,0.0,4
מק_חולון_14,מק חולון 14,METALS,MERCURY AS HG,MERCURY AS HG,2021-07-04,0.0,microgr/L,1.0,0.0,1
מק_חולון_14,מק חולון 14,FUEL, MTBE,MTBE,2019-01-28,0.0,microgr/L,40.0,0.0,3
מק_חולון_14,מק חולון 14,INDUSTRY,"CIS+ TRANS 1,2 DICHLOROETHELYENE","CIS+ TRANS 1,2 DICHLOROETHELYENE",2019-01-28,0.0,microgr/L,,,3
מק_חולון_14,מק חולון 14,PFAS,Per-FluoroOctaneSulfonate,Per-FluoroOctaneSulfonate,2020-03-01,0.0,microgr/L,0.1,0.0,2
מק_חולון_14,מק חולון 14,PFAS,Per-FluoroOctanoic Acid,Per-FluoroOctanoic Acid,2020-03-01,0.0,microgr/L,0.1,0.0,2
מק_חולון_14,מק חולון 14,PFAS,Perfluorobutane Sulfonic Acid,Perfluorobutane Sulfonic Acid,2024-06-17,0.0,microgr/L,0.1,0.0,1
מק_חולון_14,מק חולון 14,PFAS,Perfluoroheptanoic acid,Perfluoroheptanoic acid,2024-06-17,0.0,microgr/L,0.1,0.0,1
מק_חולון_14,מק חולון 14,PFAS,Perfluorohexanesulfonic acid,Perfluorohexanesulfonic acid,2024-06-17,0.0,microgr/L,0.1,0.0,1
מק_חולון_14,מק חולון 14,PFAS,Perfluorohexanoic acid,Perfluorohexanoic acid,2024-06-17,0.0,microgr/L,0.1,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,BENZENE,BENZENE,2020-09-21,0.0,microgr/L,5.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL, MTBE,MTBE,2020-09-21,0.0,microgr/L,40.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,XYLENE,XYLENE,2020-09-21,0.0,microgr/L,500.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,TOLUENE,TOLUENE,2020-09-21,0.0,microgr/L,700.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,ETHYL BENZENE,ETHYL BENZENE,2020-09-21,0.0,microgr/L,300.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,LEAD AS PB,LEAD AS PB,2020-09-21,0.0,microgr/L,10.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2020-09-21,0.0,microgr/L,4.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,CHLOROFORM,CHLOROFORM,2020-09-21,1.0,microgr/L,80.0,1.25,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2020-09-21,1.964,microgr/L,7.5,26.19,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2020-09-21,0.0,microgr/L,50.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2020-09-21,0.0,microgr/L,,,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2020-09-21,0.0,microgr/L,,,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2020-09-21,1.1,microgr/L,3.0,36.67,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,ARSENIC AS AS,ARSENIC AS AS,2020-09-21,0.0,microgr/L,10.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,CADMIUM AS CD,CADMIUM AS CD,2020-09-21,2.5,microgr/L,5.0,50.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2020-09-21,8.275,microgr/L,50.0,16.55,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2020-09-21,1.0,microgr/L,50.0,2.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2020-09-21,0.0,microgr/L,4.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2020-09-21,0.0,microgr/L,10.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,NICKEL AS NI,NICKEL AS NI,2020-09-21,0.0,microgr/L,20.0,0.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2020-09-21,1.0,microgr/L,10.0,10.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2020-09-21,0.0,microgr/L,0.5,0.0,1
נת_חולון_6,נת חולון 6,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2023-01-12,0.0,microgr/L,,,1
נת_חולון_6,נת חולון 6,METALS,ARSENIC AS AS,ARSENIC AS AS,2023-01-12,0.0,microgr/L,10.0,0.0,1
נת_חולון_6,נת חולון 6,FUEL,BENZENE,BENZENE,2023-01-12,1.0,microgr/L,5.0,20.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2023-01-12,0.0,microgr/L,4.0,0.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,CHLOROFORM,CHLOROFORM,2023-01-12,0.0,microgr/L,80.0,0.0,1
נת_חולון_6,נת חולון 6,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2023-01-12,0.0,microgr/L,50.0,0.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2023-01-12,0.0,microgr/L,50.0,0.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2023-01-12,0.0,microgr/L,4.0,0.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2023-01-12,1.116,microgr/L,10.0,11.16,1
נת_חולון_6,נת חולון 6,METALS,LEAD AS PB,LEAD AS PB,2023-01-12,0.0,microgr/L,10.0,0.0,1
נת_חולון_6,נת חולון 6,FUEL, MTBE,MTBE,2023-01-12,0.0,microgr/L,40.0,0.0,1
נת_חולון_6,נת חולון 6,METALS,NICKEL AS NI,NICKEL AS NI,2023-01-12,0.0,microgr/L,20.0,0.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2023-01-12,0.0,microgr/L,10.0,0.0,1
נת_חולון_6,נת חולון 6,FUEL,TOLUENE,TOLUENE,2023-01-12,1.0,microgr/L,700.0,0.14,1
נת_חולון_6,נת חולון 6,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2023-01-12,0.0,microgr/L,50.0,0.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2023-01-12,10.479,microgr/L,7.5,139.72,1
נת_חולון_6,נת חולון 6,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2023-01-12,0.0,microgr/L,0.5,0.0,1
נת_חולון_6,נת חולון 6,FUEL,XYLENE,XYLENE,2023-01-12,0.0,microgr/L,500.0,0.0,1
נת_חולון_6,נת חולון 6,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2023-01-12,0.0,microgr/L,,,1
נת_חולון_6,נת חולון 6,FUEL,ETHYL BENZENE,ETHYL BENZENE,2023-01-12,0.0,microgr/L,300.0,0.0,1
נת_חולון_6,נת חולון 6,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2023-01-12,0.7,microgr/L,3.0,23.33,1
