borehole,name_he,family,param_code,param_name,first_sample_date,last_sample_date,n_samples,years_covered_count,last_year,monitoring_active_2024_or_later,trend_possible
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2011-08-25,2024-11-18,7,7,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,n-Butyl benzene,n-Butyl benzene,2011-08-25,2017-06-18,3,3,2017,False,False
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,o-Xylene ,o-Xylene,2011-08-25,2017-06-18,3,3,2017,False,False
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,p-isopropyl toluene,p-isopropyl toluene,2011-08-25,2015-07-12,2,2,2015,False,False
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,p-xylene,p-xylene,2011-08-25,2015-07-12,2,2,2015,False,False
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2016-07-19,2026-02-10,3,3,2026,True,False
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2010-11-01,2024-11-18,10,10,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,ARSENIC AS AS,ARSENIC AS AS,2010-11-01,2023-08-13,9,9,2023,False,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,BENZENE,BENZENE,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,CADMIUM AS CD,CADMIUM AS CD,2010-11-01,2023-08-13,9,9,2023,False,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2010-11-01,2024-11-18,10,10,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,CHLOROFORM,CHLOROFORM,2010-11-01,2024-11-18,12,12,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2010-11-01,2023-08-13,11,11,2023,False,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-11-01,2024-11-18,12,12,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2010-11-01,2024-11-18,10,10,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2010-11-01,2024-11-18,12,12,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2010-11-01,2024-11-18,10,10,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,LEAD AS PB,LEAD AS PB,2010-11-01,2023-08-13,9,9,2023,False,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL, MTBE,MTBE,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,NICKEL AS NI,NICKEL AS NI,2010-11-01,2023-08-13,10,10,2023,False,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2010-11-01,2024-11-18,12,12,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,TOLUENE,TOLUENE,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2010-11-01,2024-11-18,12,12,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2010-11-01,2024-11-18,12,12,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2010-11-01,2024-11-18,12,12,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,XYLENE,XYLENE,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2011-08-25,2024-11-18,8,8,2024,True,True
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,n-Butyl benzene,n-Butyl benzene,2011-08-25,2017-06-18,3,3,2017,False,False
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,o-Xylene ,o-Xylene,2011-08-25,2017-06-18,3,3,2017,False,False
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,p-isopropyl toluene,p-isopropyl toluene,2011-08-25,2015-06-25,2,2,2015,False,False
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,p-xylene,p-xylene,2011-08-25,2015-06-25,2,2,2015,False,False
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2016-07-27,2026-02-10,4,4,2026,True,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,BENZENE,BENZENE,2010-04-01,2022-07-17,12,8,2022,False,True
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2010-04-01,2022-07-17,12,8,2022,False,True
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL, MTBE,MTBE,2010-04-01,2022-07-17,12,8,2022,False,True
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,TOLUENE,TOLUENE,2010-04-01,2022-07-17,12,8,2022,False,True
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,XYLENE,XYLENE,2010-04-01,2022-07-17,12,8,2022,False,True
נד_סונול_מרכבה_1,נד סונול מרכבה 1,METALS,LEAD AS PB,LEAD AS PB,2011-04-06,2015-11-18,5,4,2015,False,True
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,CHLOROFORM,CHLOROFORM,2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2022-07-17,2022-07-17,1,1,2022,False,False
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2022-07-17,2022-07-17,1,1,2022,False,False
נת_חולון_13,נת חולון 13,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2026-02-10,2026-02-10,1,1,2026,True,False
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,BENZENE,BENZENE,2017-05-28,2025-05-25,14,9,2025,True,True
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2017-05-28,2025-05-25,14,9,2025,True,True
נד_פז_סיירים_1,נד פז סיירים 1,FUEL, MTBE,MTBE,2017-05-28,2025-05-25,14,9,2025,True,True
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,TOLUENE,TOLUENE,2017-05-28,2025-05-25,14,9,2025,True,True
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,XYLENE,XYLENE,2017-05-28,2025-05-25,14,9,2025,True,True
מק_חולון_14,מק חולון 14,METALS,ARSENIC AS AS,ARSENIC AS AS,2010-06-15,2021-07-04,5,5,2021,False,True
מק_חולון_14,מק חולון 14,FUEL,BENZENE,BENZENE,2010-06-15,2021-07-04,10,7,2021,False,True
מק_חולון_14,מק חולון 14,METALS,CADMIUM AS CD,CADMIUM AS CD,2010-06-15,2021-07-04,5,5,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2010-06-15,2025-11-12,32,13,2025,True,True
מק_חולון_14,מק חולון 14,INDUSTRY,CHLOROFORM,CHLOROFORM,2010-06-15,2021-07-04,10,7,2021,False,True
מק_חולון_14,מק חולון 14,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2010-06-15,2021-07-04,6,6,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-06-15,2021-07-04,10,7,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2010-06-15,2021-07-04,10,7,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2010-06-15,2025-11-12,25,11,2025,True,True
מק_חולון_14,מק חולון 14,METALS,LEAD AS PB,LEAD AS PB,2010-06-15,2021-07-04,5,5,2021,False,True
מק_חולון_14,מק חולון 14,METALS,NICKEL AS NI,NICKEL AS NI,2010-06-15,2021-07-04,5,5,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2010-06-15,2021-07-04,15,7,2021,False,True
מק_חולון_14,מק חולון 14,FUEL,TOLUENE,TOLUENE,2010-06-15,2021-07-04,11,8,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2010-06-15,2021-07-04,10,7,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2010-06-15,2025-11-12,44,15,2025,True,True
מק_חולון_14,מק חולון 14,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2010-06-15,2021-07-04,10,7,2021,False,True
מק_חולון_14,מק חולון 14,FUEL,XYLENE,XYLENE,2010-06-15,2021-07-04,11,8,2021,False,True
מק_חולון_14,מק חולון 14,FUEL,ETHYL BENZENE,ETHYL BENZENE,2011-09-12,2021-07-04,10,7,2021,False,True
מק_חולון_14,מק חולון 14,METALS,MERCURY AS HG,MERCURY AS HG,2011-09-12,2021-07-04,3,3,2021,False,False
מק_חולון_14,מק חולון 14,FUEL, MTBE,MTBE,2011-09-12,2021-07-04,9,6,2021,False,True
מק_חולון_14,מק חולון 14,INDUSTRY,"CIS+ TRANS 1,2 DICHLOROETHELYENE","CIS+ TRANS 1,2 DICHLOROETHELYENE",2016-02-16,2021-07-04,8,5,2021,False,True
מק_חולון_14,מק חולון 14,PFAS,Per-FluoroOctaneSulfonate,Per-FluoroOctaneSulfonate,2020-03-01,2024-06-17,2,2,2024,True,False
מק_חולון_14,מק חולון 14,PFAS,Per-FluoroOctanoic Acid,Per-FluoroOctanoic Acid,2020-03-01,2024-06-17,2,2,2024,True,False
מק_חולון_14,מק חולון 14,PFAS,Perfluorobutane Sulfonic Acid,Perfluorobutane Sulfonic Acid,2024-06-17,2024-06-17,1,1,2024,True,False
מק_חולון_14,מק חולון 14,PFAS,Perfluoroheptanoic acid,Perfluoroheptanoic acid,2024-06-17,2024-06-17,1,1,2024,True,False
מק_חולון_14,מק חולון 14,PFAS,Perfluorohexanesulfonic acid,Perfluorohexanesulfonic acid,2024-06-17,2024-06-17,1,1,2024,True,False
מק_חולון_14,מק חולון 14,PFAS,Perfluorohexanoic acid,Perfluorohexanoic acid,2024-06-17,2024-06-17,1,1,2024,True,False
נת_חולון_4,נת חולון 4,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2010-06-08,2010-11-23,2,1,2010,False,False
נת_חולון_4,נת חולון 4,FUEL,BENZENE,BENZENE,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,CHLOROFORM,CHLOROFORM,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-06-08,2010-11-23,2,1,2010,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,FUEL, MTBE,MTBE,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,FUEL,TOLUENE,TOLUENE,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2010-06-08,2010-11-23,2,1,2010,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2010-06-08,2010-11-23,2,1,2010,False,False
נת_חולון_4,נת חולון 4,FUEL,XYLENE,XYLENE,2010-06-08,2011-09-15,3,2,2011,False,False
נת_חולון_4,נת חולון 4,FUEL,ETHYL BENZENE,ETHYL BENZENE,2010-11-23,2010-11-23,1,1,2010,False,False
נת_חולון_4,נת חולון 4,METALS,ARSENIC AS AS,ARSENIC AS AS,2011-09-15,2011-09-15,1,1,2011,False,False
נת_חולון_4,נת חולון 4,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2011-09-15,2011-09-15,1,1,2011,False,False
נת_חולון_4,נת חולון 4,METALS,LEAD AS PB,LEAD AS PB,2011-09-15,2011-09-15,1,1,2011,False,False
נת_חולון_4,נת חולון 4,METALS,NICKEL AS NI,NICKEL AS NI,2011-09-15,2011-09-15,1,1,2011,False,False
נת_חולון_18,נת חולון 18,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2012-11-27,2014-09-03,2,2,2014,False,False
נת_חולון_18,נת חולון 18,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2012-11-27,2014-09-03,2,2,2014,False,False
נת_חולון_18,נת חולון 18,FUEL,BENZENE,BENZENE,2012-11-27,2014-09-03,2,2,2014,False,False
נת_חולון_18,נת חולון 18,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2012-11-27,2014-09-03,2,2,2014,False,False
