borehole,name_he,family,param_code,param_name,latest_date,latest_concentration,unit,drinking_water_standard,pct_of_standard
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2023-08-13,0.0,microgr/L,50.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2024-11-18,2.632,microgr/L,50.0,5.26
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2024-11-18,0.0,microgr/L,4.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2024-11-18,1.853,microgr/L,10.0,18.53
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-11-18,0.0,microgr/L,300.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,LEAD AS PB,LEAD AS PB,2023-08-13,0.0,microgr/L,10.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL, MTBE,MTBE,2024-11-18,0.0,microgr/L,40.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,NICKEL AS NI,NICKEL AS NI,2023-08-13,0.0,microgr/L,20.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2024-11-18,3.607,microgr/L,10.0,36.07
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,TOLUENE,TOLUENE,2024-11-18,1.0,microgr/L,700.0,0.14
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2024-11-18,1.0,microgr/L,50.0,2.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2024-11-18,85.414,microgr/L,7.5,1138.85
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2024-11-18,0.0,microgr/L,0.5,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,XYLENE,XYLENE,2024-11-18,0.0,microgr/L,500.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2024-11-18,0.0,microgr/L,,
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,n-Butyl benzene,n-Butyl benzene,2017-06-18,0.0,microgr/L,,
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,o-Xylene ,o-Xylene,2017-06-18,0.0,microgr/L,,
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,p-isopropyl toluene,p-isopropyl toluene,2015-06-25,0.0,microgr/L,,
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,p-xylene,p-xylene,2015-06-25,0.0,microgr/L,,
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2026-02-10,0.0,microgr/L,3.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,BENZENE,BENZENE,2022-07-17,1.0,microgr/L,5.0,20.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2022-07-17,1.0,microgr/L,300.0,0.33
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL, MTBE,MTBE,2022-07-17,1.0,microgr/L,40.0,2.5
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,TOLUENE,TOLUENE,2022-07-17,1.0,microgr/L,700.0,0.14
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,XYLENE,XYLENE,2022-07-17,3.0,microgr/L,500.0,0.6
נד_סונול_מרכבה_1,נד סונול מרכבה 1,METALS,LEAD AS PB,LEAD AS PB,2015-11-18,0.0,microgr/L,10.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2022-07-17,1.0,microgr/L,,
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2022-07-17,1.0,microgr/L,,
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2022-07-17,0.0,microgr/L,4.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,CHLOROFORM,CHLOROFORM,2022-07-17,0.0,microgr/L,80.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2022-07-17,0.0,microgr/L,50.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2022-07-17,0.0,microgr/L,4.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2022-07-17,0.0,microgr/L,10.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2022-07-17,4.0,microgr/L,10.0,40.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2022-07-17,0.0,microgr/L,50.0,0.0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2022-07-17,1.0,microgr/L,7.5,13.33
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2022-07-17,0.0,microgr/L,0.5,0.0
נת_חולון_13,נת חולון 13,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2026-02-10,0.0,microgr/L,3.0,0.0
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,BENZENE,BENZENE,2025-05-25,5.0,microgr/L,5.0,100.0
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,ETHYL BENZENE,ETHYL BENZENE,2025-05-25,5.0,microgr/L,300.0,1.67
נד_פז_סיירים_1,נד פז סיירים 1,FUEL, MTBE,MTBE,2025-05-25,5.0,microgr/L,40.0,12.5
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,TOLUENE,TOLUENE,2025-05-25,5.0,microgr/L,700.0,0.71
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,XYLENE,XYLENE,2025-05-25,5.0,microgr/L,500.0,1.0
מק_חולון_14,מק חולון 14,METALS,ARSENIC AS AS,ARSENIC AS AS,2021-07-04,0.9,microgr/L,10.0,9.0
מק_חולון_14,מק חולון 14,FUEL,BENZENE,BENZENE,2021-07-04,0.0,microgr/L,5.0,0.0
מק_חולון_14,מק חולון 14,METALS,CADMIUM AS CD,CADMIUM AS CD,2021-07-04,0.0,microgr/L,5.0,0.0
מק_חולון_14,מק חולון 14,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2025-11-12,0.2,microgr/L,4.0,5.0
מק_חולון_14,מק חולון 14,INDUSTRY,CHLOROFORM,CHLOROFORM,2021-07-04,0.0,microgr/L,80.0,0.0
מק_חולון_14,מק חולון 14,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2021-07-04,7.1,microgr/L,50.0,14.2
מק_חולון_14,מק חולון 14,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2021-07-04,0.0,microgr/L,50.0,0.0
מק_חולון_14,מק חולון 14,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2021-07-04,0.0,microgr/L,4.0,0.0
מק_חולון_14,מק חולון 14,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2025-11-12,0.44,microgr/L,10.0,4.4
מק_חולון_14,מק חולון 14,METALS,LEAD AS PB,LEAD AS PB,2021-07-04,0.0,microgr/L,10.0,0.0
מק_חולון_14,מק חולון 14,METALS,NICKEL AS NI,NICKEL AS NI,2021-07-04,0.0,microgr/L,20.0,0.0
מק_חולון_14,מק חולון 14,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2021-07-04,0.0,microgr/L,10.0,0.0
מק_חולון_14,מק חולון 14,FUEL,TOLUENE,TOLUENE,2021-07-04,0.0,microgr/L,700.0,0.0
מק_חולון_14,מק חולון 14,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2021-07-04,0.0,microgr/L,50.0,0.0
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2025-11-12,6.64,microgr/L,7.5,88.53
מק_חולון_14,מק חולון 14,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2021-07-04,0.0,microgr/L,0.5,0.0
מק_חולון_14,מק חולון 14,FUEL,XYLENE,XYLENE,2021-07-04,0.0,microgr/L,500.0,0.0
מק_חולון_14,מק חולון 14,FUEL,ETHYL BENZENE,ETHYL BENZENE,2021-07-04,0.0,microgr/L,300.0,0.0
מק_חולון_14,מק חולון 14,METALS,MERCURY AS HG,MERCURY AS HG,2021-07-04,0.0,microgr/L,1.0,0.0
מק_חולון_14,מק חולון 14,FUEL, MTBE,MTBE,2021-07-04,0.0,microgr/L,40.0,0.0
מק_חולון_14,מק חולון 14,INDUSTRY,"CIS+ TRANS 1,2 DICHLOROETHELYENE","CIS+ TRANS 1,2 DICHLOROETHELYENE",2021-07-04,0.0,microgr/L,,
מק_חולון_14,מק חולון 14,PFAS,Per-FluoroOctaneSulfonate,Per-FluoroOctaneSulfonate,2024-06-17,0.0,microgr/L,0.1,0.0
מק_חולון_14,מק חולון 14,PFAS,Per-FluoroOctanoic Acid,Per-FluoroOctanoic Acid,2024-06-17,0.0,microgr/L,0.1,0.0
מק_חולון_14,מק חולון 14,PFAS,Perfluorobutane Sulfonic Acid,Perfluorobutane Sulfonic Acid,2024-06-17,0.0,microgr/L,0.1,0.0
מק_חולון_14,מק חולון 14,PFAS,Perfluoroheptanoic acid,Perfluoroheptanoic acid,2024-06-17,0.0,microgr/L,0.1,0.0
מק_חולון_14,מק חולון 14,PFAS,Perfluorohexanesulfonic acid,Perfluorohexanesulfonic acid,2024-06-17,0.0,microgr/L,0.1,0.0
מק_חולון_14,מק חולון 14,PFAS,Perfluorohexanoic acid,Perfluorohexanoic acid,2024-06-17,0.0,microgr/L,0.1,0.0
נת_חולון_4,נת חולון 4,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2010-11-23,0.0,microgr/L,,
נת_חולון_4,נת חולון 4,FUEL,BENZENE,BENZENE,2011-09-15,0.0,microgr/L,5.0,0.0
נת_חולון_4,נת חולון 4,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2011-09-15,0.5,microgr/L,4.0,12.5
נת_חולון_4,נת חולון 4,INDUSTRY,CHLOROFORM,CHLOROFORM,2011-09-15,1.7,microgr/L,80.0,2.12
נת_חולון_4,נת חולון 4,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-11-23,0.0,microgr/L,50.0,0.0
נת_חולון_4,נת חולון 4,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2011-09-15,0.0,microgr/L,4.0,0.0
נת_חולון_4,נת חולון 4,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2011-09-15,0.0,microgr/L,10.0,0.0
נת_חולון_4,נת חולון 4,FUEL, MTBE,MTBE,2011-09-15,0.0,microgr/L,40.0,0.0
נת_חולון_4,נת חולון 4,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2011-09-15,0.0,microgr/L,10.0,0.0
נת_חולון_4,נת חולון 4,FUEL,TOLUENE,TOLUENE,2011-09-15,0.0,microgr/L,700.0,0.0
נת_חולון_4,נת חולון 4,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2010-11-23,0.0,microgr/L,50.0,0.0
נת_חולון_4,נת חולון 4,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2011-09-15,2.3,microgr/L,7.5,30.67
נת_חולון_4,נת חולון 4,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2010-11-23,0.0,microgr/L,0.5,0.0
נת_חולון_4,נת חולון 4,FUEL,XYLENE,XYLENE,2011-09-15,0.0,microgr/L,500.0,0.0
נת_חולון_4,נת חולון 4,FUEL,ETHYL BENZENE,ETHYL BENZENE,2010-11-23,0.0,microgr/L,300.0,0.0
נת_חולון_4,נת חולון 4,METALS,ARSENIC AS AS,ARSENIC AS AS,2011-09-15,1.32,microgr/L,10.0,13.2
נת_חולון_4,נת חולון 4,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2011-09-15,13.24,microgr/L,50.0,26.48
נת_חולון_4,נת חולון 4,METALS,LEAD AS PB,LEAD AS PB,2011-09-15,0.0,microgr/L,10.0,0.0
נת_חולון_4,נת חולון 4,METALS,NICKEL AS NI,NICKEL AS NI,2011-09-15,1.25,microgr/L,20.0,6.25
נת_חולון_18,נת חולון 18,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2014-09-03,0.0,microgr/L,,
נת_חולון_18,נת חולון 18,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2014-09-03,0.0,microgr/L,,
נת_חולון_18,נת חולון 18,FUEL,BENZENE,BENZENE,2014-09-03,0.0,microgr/L,5.0,0.0
נת_חולון_18,נת חולון 18,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2014-09-03,0.0,microgr/L,4.0,0.0
נת_חולון_18,נת חולון 18,INDUSTRY,CHLOROFORM,CHLOROFORM,2014-09-03,2.0,microgr/L,80.0,2.5
נת_חולון_18,נת חולון 18,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2014-09-03,1.0,microgr/L,50.0,2.0
